|Donald Trump's campaign manager tells @NewDay, "We're going to win on the first ballot" https://t.co/6OZtrfIwim https://t.co/8PJHHYRuj0|`|0|`|20160503_11|`|CNNPolitics|
|Donald Trump goes for the knockout blow against Ted Cruz in Indiana https://t.co/IRvPei9jnp #INPrimary https://t.co/iFgO6FC0az|`|0|`|20160503_11|`|CNNPolitics|
|An American is killed after the enemy broke through Peshmerga lines in Iraq https://t.co/2EdEg5kzWI https://t.co/qxCErAjgwX|`|0|`|20160503_11|`|CNNPolitics|
|RT @NewDay: Coming up at 7amET: Donald Trump campaign manager @CLewandowski_. Tune in ?? https://t.co/Tk64moDxMr https://t.co/1zDqGYqm2g|`|0|`|20160503_11|`|CNNPolitics|
|What to watch in Indiana's primary https://t.co/IRvPei9jnp via @ericbradner #INPrimary https://t.co/Wza48X694I|`|0|`|20160503_10|`|CNNPolitics|
|CNN/ORC poll: Americans agree Hillary Clinton and Donald Trump are headed for a faceoff https://t.co/FfmMfL9Mso https://t.co/2IlFpfX5bi|`|0|`|20160503_10|`|CNNPolitics|
|Former Notre Dame football coach Lou Holtz endorses Donald Trump ahead of the #INPrimary https://t.co/WAQrihOuiO https://t.co/HNaqvh5jIL|`|0|`|20160503_10|`|CNNPolitics|
|Donald Trump zeroes in on the #INPrimary, predicting a Ted Cruz takedown https://t.co/m3ofQ40ZcH via @ericbradner https://t.co/hYHzYzrjZu|`|0|`|20160503_09|`|CNNPolitics|
|Obama says the next president would likely follow his targeted approached to fighting terror https://t.co/fsVdiTFrGh https://t.co/rjNVAleFUF|`|0|`|20160503_09|`|CNNPolitics|
|Hillary Clinton's and Bernie Sanders' campaign spar over joint fundraising efforts https://t.co/vXObc7dHOt https://t.co/xo8MYIcQIL|`|0|`|20160503_08|`|CNNPolitics|
|President Obama barnstorms on TV for his stalled #SCOTUSnominee, Merrick Garland https://t.co/0au9A1vLVi https://t.co/uXtt5h5oO5|`|0|`|20160503_08|`|CNNPolitics|
|The White House releases never-before-seen video from before and after the #BinLaden raid https://t.co/QaMB5VNXT4 https://t.co/WM5HcmDr6A|`|0|`|20160503_07|`|CNNPolitics|
|What do Bernie Sanders, Ruth Bader Ginsburg, Chuck Schumer and Judge Judy have in common? https://t.co/piGpxB1EUP https://t.co/IdfcYDsjIp|`|0|`|20160503_07|`|CNNPolitics|
|Senior Jeb Bush adviser Sally Bradshaw's new chapter: Opening an independent bookstore https://t.co/uXOvCei0tp https://t.co/90SzaJ73RI|`|0|`|20160503_06|`|CNNPolitics|
