|How one writer lost her mind?and her clothes?playing Britney Spears' new mobile game: https://t.co/XJltopJBGE https://t.co/0ZTsmzThi8|`|4|`|20160529_00|`|new_EW|
|See the trailer for James Franco's re-"vamp" of 'Mother, May I Sleep With Danger?': https://t.co/q2kQOPJiPZ https://t.co/KSPmhHF0BG|`|4|`|20160528_23|`|new_EW|
|Relive #Nashville's 10 biggest guest star performances: https://t.co/u6jjw6RY8z https://t.co/thxxHKXcCr|`|4|`|20160528_23|`|new_EW|
|Melissa McCarthy to #Ghostbusters haters: "I hope they find a friend": https://t.co/BmkPoYpxYA https://t.co/5j5a7Jog6j|`|4|`|20160528_22|`|new_EW|
|43 things leaving Netflix in June: https://t.co/RUHinnveu1 https://t.co/D61bQ7Qx1u|`|4|`|20160528_22|`|new_EW|
|Here are 20 of the BEST songs of the year so far: https://t.co/nhkzTxKktz ?? ???? https://t.co/97UdULCDab|`|4|`|20160528_22|`|new_EW|
|.@ZacEfron shares a #HighSchoolMusical throwback photo of the cast: https://t.co/uCgcDEhBat https://t.co/uOA4SoEp3y|`|4|`|20160528_21|`|new_EW|
|Norman Reedus says "the planet is going to explode" when #TheWalkingDead returns: https://t.co/iqOvAMqcvk ?? https://t.co/fLpdWCWNlK|`|4|`|20160528_21|`|new_EW|
|David Letterman jokes that he'll fake his own death over #Indy500 results: https://t.co/hJedEg76df https://t.co/wpXxKO2RDb|`|4|`|20160528_21|`|new_EW|
|See 6 new photos from this week's #GameOfThrones episode: https://t.co/4N7SJNWwYE https://t.co/UiEVW3ZKyR|`|4|`|20160528_20|`|new_EW|
|What is Essex Corp? The #XMenApocalypse post-credits scene explained: https://t.co/8ao0KchamI https://t.co/2RNTizqqbu|`|4|`|20160528_20|`|new_EW|
|.@BillMaher talks Presidents Kanye and Gaga in commencement speech from the year 2041: https://t.co/mGknSaM9Vu https://t.co/bZ4XwBGW7G|`|4|`|20160528_20|`|new_EW|
|'#Transformers: The Last Knight' releases viral teaser with a cryptic message: https://t.co/8mg72DP8g5 https://t.co/7z3Dc79Q75|`|4|`|20160528_19|`|new_EW|
|Jeff Bridges joins the cast of '#Kingsman: The Golden Circle': https://t.co/J800ALJ4rz https://t.co/KtNhNFaWaE|`|4|`|20160528_19|`|new_EW|
|Chris Evans is totally down for a #CaptainAmerica cameo in 'Spider-Man: Homecoming': https://t.co/GIgRQmk9LW https://t.co/RbeU8DYeAz|`|4|`|20160528_19|`|new_EW|
|See exclusive photos of @nickjonas getting wet and wild for our cover shoot: https://t.co/rXh3YqP4kO ?? ?? https://t.co/nLL5t0Sw63|`|4|`|20160528_19|`|new_EW|
|Ranking every season of #TheBachelorette: https://t.co/Tnf0N8nlvr ?? ?? https://t.co/EuM4y3sxBW|`|4|`|20160528_18|`|new_EW|
|#GameOfThrones star Gwendoline Christie secretly loves Tormund?s crush: https://t.co/uGNlvRyYiX https://t.co/na9EBEy8h8|`|4|`|20160528_18|`|new_EW|
|Watch Jimmy Fallon, Maya Rudolph, and Martin Short spoof cop shows with Windy City Blue: https://t.co/gwGCPJWggf https://t.co/qnrByyaaYT|`|4|`|20160528_18|`|new_EW|
|Dwayne "@TheRock" Johnson reveals his return as Hobbs in #Fast8: https://t.co/ddrM7dY91k https://t.co/OMrhD7ZGDf|`|4|`|20160528_18|`|new_EW|
|The new '#CaptainAmerica: Steve Rogers #1' comic ends with a shocking revelation: https://t.co/hLHvEkiVPs https://t.co/1uhAIHOeWD|`|4|`|20160528_17|`|new_EW|
|Vote for your favorite TV moments in our #SeasonFinaleAwards: https://t.co/chyEUifnJ0 ?? https://t.co/EeM8cfyNHX|`|4|`|20160528_17|`|new_EW|
|Rashida Jones teaches Stephen Colbert how to be a feminist on @ColbertLateShow: https://t.co/7Dm7zdLgc3 https://t.co/HElJQdjtZl|`|4|`|20160528_17|`|new_EW|
|Get the tissues ready. Here's our review of Emilia Clarke and Sam Claflin's 'Me Before You': https://t.co/PnZIcKYxhU https://t.co/BwTduNTFoT|`|4|`|20160528_17|`|new_EW|
