|b'Mitt Romney is skipping the GOP convention, joining a list of presidents and leaders https://t.co/YnXAHkTx6c https://t.co/XW4HSvqgA5'|`|0|`|20160507_11|`|CNNPolitics|
|b'Donald Trump is already changing and morphing into a general election candidate https://t.co/qsD7jbm5ty https://t.co/m3TVF9rBDh'|`|0|`|20160507_11|`|CNNPolitics|
|b'Bobby Jindal says he doesn\'t have "any plans" to attend the GOP convention this summer https://t.co/v7fbZEMipy https://t.co/GR3yYsbFD6'|`|0|`|20160507_10|`|CNNPolitics|
|b'How Rolling Stones keyboardist @ChuckLeavell became an environmental activist https://t.co/PSCVxiV3kb via @Deena_CNN https://t.co/yVYBuNsf2s'|`|0|`|20160507_10|`|CNNPolitics|
|b"CNN's @jimsciutto visits a nuclear submarine as deep-sea tensions with Russia grow https://t.co/JX5ozTZ7uV https://t.co/9k6XxyefSM"|`|0|`|20160507_09|`|CNNPolitics|
|b'How Ted Cruz was out-outsidered by Donald Trump https://t.co/hT1LMk0q9T via @betsy_klein https://t.co/uz0fT6STKz'|`|0|`|20160507_09|`|CNNPolitics|
|b'First on CNN: Dick Cheney says he will support Donald Trump https://t.co/rPEeU93um9 via @tomlobianco https://t.co/Ed3SD6jFk5'|`|0|`|20160507_08|`|CNNPolitics|
|b'A small number of U.S. military personnel are on the ground in Yemen https://t.co/bTlsf3Qghz via @barbarastarrcnn https://t.co/ccLz8oqGiZ'|`|0|`|20160507_08|`|CNNPolitics|
|b'Bernie Sanders says the Democratic convention is tilted in favor of Hillary Clinton https://t.co/D4Lx0I1vwJ https://t.co/5ywZYPULes'|`|0|`|20160507_07|`|CNNPolitics|
|b'A Pentagon report says sexual assault cases in the military remain constant https://t.co/ooh1Bk0MTC https://t.co/RrgY8tDW3p'|`|0|`|20160507_07|`|CNNPolitics|
|b"Jeb Bush says he won't vote for Donald Trump in November https://t.co/16Ae20FB6f via @Karl_de_Vries https://t.co/qDqVfcJAkn"|`|0|`|20160507_06|`|CNNPolitics|
|b"Nebraska's Gov. Ricketts supports Trump despite his parents spending millions against Trump https://t.co/vhyWpFXHjx https://t.co/lRJdfIqK5E"|`|0|`|20160507_06|`|CNNPolitics|
|b"Bernie Sanders leaves the door open to being Hillary Clinton's VP https://t.co/yICN1OEWWE via @tomlobianco https://t.co/CT9CNnENva"|`|0|`|20160507_05|`|CNNPolitics|
|b'Saudi prince: Getting nukes is an option if Iran breaks the nuclear deal https://t.co/zFpyveC2Ux https://t.co/q73cjN9lTj'|`|0|`|20160507_05|`|CNNPolitics|
|b"Bernie Sanders leaves the door open to being Hillary Clinton's VP https://t.co/yICN1OEWWE via @tomlobianco https://t.co/PO5TbG86AF"|`|0|`|20160507_04|`|CNNPolitics|
|b"GOP luminaries pick sides on Donald Trump as the party's rift widens https://t.co/voFT230AJ0 https://t.co/sRgVD7BBvF"|`|0|`|20160507_04|`|CNNPolitics|
|b'President Obama shortens prison sentences for 58 more people https://t.co/is778bC7VD via @Kevinliptakcnn https://t.co/ESY20P1Afy'|`|0|`|20160507_04|`|CNNPolitics|
|b'Donald Trump: Hillary Clinton is a "nasty, mean enabler" https://t.co/CPGGySu9KW via @JDiamond1 https://t.co/0aakRxJFUj'|`|0|`|20160507_03|`|CNNPolitics|
|b'Donald Trump looms large in the Illinois Senate race https://t.co/kae7BQKFo5 via @TalKopan https://t.co/kwZG16CDgJ'|`|0|`|20160507_03|`|CNNPolitics|
|b'First on CNN: Dick Cheney says he will support Donald Trump https://t.co/rPEeU93um9 via @tomlobianco https://t.co/bcMFgxyAoH'|`|0|`|20160507_03|`|CNNPolitics|
|b"Nebraska's Gov. Ricketts supports Trump despite his parents spending millions against Trump https://t.co/vhyWpGfib5 https://t.co/i2b8EAqL8N"|`|0|`|20160507_02|`|CNNPolitics|
|b'A small number of U.S. military personnel are on the ground in Yemen https://t.co/bTlsf3Qghz via @barbarastarrcnn https://t.co/RoMiFct6lD'|`|0|`|20160507_02|`|CNNPolitics|
|b'Ex-Mexican President Vicente Fox tweets at Donald Trump about his ties https://t.co/VUk9LRtDtc https://t.co/NprEkq8ex0'|`|0|`|20160507_01|`|CNNPolitics|
|b'Donald Trump set to meet with top Hill Republicans soon https://t.co/HhMGRTO3hD via @deirdrewalshcnn https://t.co/vR5uRIkJ7a'|`|0|`|20160507_01|`|CNNPolitics|
|b'Trump asks his son-in-law to help him prepare for a White House transition https://t.co/fwc5SEseYp via @EliBWatkins https://t.co/XfM6uWL7VM'|`|0|`|20160507_01|`|CNNPolitics|
|b"Donald Trump hits back at 'goofy' Elizabeth Warren https://t.co/OczT6UFzt2 via @EliBWatkins"|`|0|`|20160507_01|`|CNNPolitics|
