|b'Civil war: Ryan vs. Trump in a high-stakes GOP power struggle. Sign up for more updates: https://t.co/N8UVw77Xbj https://t.co/FqrlKCXqqG'|`|0|`|20160506_11|`|CNNPolitics|
|b'Donald Trump looms large in the Illinois Senate race https://t.co/kae7BQKFo5 via @TalKopan https://t.co/PbWCeGycax'|`|0|`|20160506_11|`|CNNPolitics|
|b'What life is like aboard a U.S. nuclear attack submarine https://t.co/MA7WNZybjK via @jimsciutto https://t.co/UE5owOUVgD'|`|0|`|20160506_11|`|CNNPolitics|
|b'RT @NewDay: "Donald Trump was certainly not my first choice, but he is the voters\' choice," @BobbyJindal tells @AlisynCamerota https://t.co?'|`|0|`|20160506_11|`|CNNPolitics|
|b"CNN/ORC poll: President Obama's approval holds in positive territory https://t.co/yIsKRUrGDK via @jennagiesta https://t.co/9HN82GacA4"|`|0|`|20160506_11|`|CNNPolitics|
|b'RT @TalKopan: Mark Kirk has a new running mate, welcome or not. How Trump looms over Senate races: https://t.co/4cBOS3nIrX https://t.co/DOP?'|`|0|`|20160506_10|`|CNNPolitics|
|b'How Ted Cruz was out-outsidered by Donald Trump https://t.co/hT1LMk0q9T via @betsy_klein https://t.co/UMtTUMTHcE'|`|0|`|20160506_10|`|CNNPolitics|
|b"Fact-checking Donald Trump's claims that Hillary Clinton started the birther movement https://t.co/Xnt6Yw6tzY https://t.co/Jjl5xlR3EV"|`|0|`|20160506_10|`|CNNPolitics|
|b'Speaker Paul Ryan: "I\'m just not ready" to support Donald Trump as the GOP nominee https://t.co/xzLaxvkTPe https://t.co/MmTYbECt6N'|`|0|`|20160506_10|`|CNNPolitics|
|b'A Pentagon report says sexual assault cases in the military remain constant https://t.co/ooh1Bk0MTC https://t.co/wje1rKiHje'|`|0|`|20160506_10|`|CNNPolitics|
|b'First on CNN: The FBI interviews Clinton aides including Huma Abedin as part of email probe https://t.co/pfow6gOKmE https://t.co/18HTio6zBd'|`|0|`|20160506_09|`|CNNPolitics|
|b'First on CNN: Rick Perry endorses Donald Trump for president https://t.co/XwvcJmWfEM via @DanaBashCNN https://t.co/ThkFamoTyY'|`|0|`|20160506_09|`|CNNPolitics|
|b'President Obama shortens prison sentences for 58 more people https://t.co/is778bC7VD via @Kevinliptakcnn https://t.co/CuAXHvmoNE'|`|0|`|20160506_08|`|CNNPolitics|
