|Vicente Fox says he will only accept Donald Trump's lunch invitation if Trump apologizes https://t.co/5fgeExFkJ9 https://t.co/FUsPLZJGeJ|`|0|`|20160521_11|`|CNNPolitics|
|Robert Gates says he questions Hillary Clinton's judgment in using a private email server https://t.co/npNMMVhGvg https://t.co/7V4Vca5v04|`|0|`|20160521_11|`|CNNPolitics|
|What does Donald Trump want in a VP? His top executives take a guess https://t.co/ReIQcRGEfj  via @mj_lee https://t.co/uTG5YZ88LH|`|0|`|20160521_11|`|CNNPolitics|
|Trump says Clinton is "ill-equipped" for the presidency and calls her criticism "dumb" https://t.co/IbTuUU8T9n https://t.co/d8bhSCkzVD|`|0|`|20160521_10|`|CNNPolitics|
|Donald Trump's campaign admits it did not raise $6M for veterans https://t.co/y4YANEoYt7 https://t.co/TS14ixwmSI|`|0|`|20160521_10|`|CNNPolitics|
|Hillary Clinton and her allies beef up her campaign and super PAC warchests https://t.co/Bfd8EMj1DY https://t.co/wieDfV6VGR|`|0|`|20160521_09|`|CNNPolitics|
|Poll: Donald Trump trails Hillary Clinton by nearly 40 points with Latinos https://t.co/DdggCGECUu https://t.co/r4Qdl2DSq7|`|0|`|20160521_09|`|CNNPolitics|
|Rick Perry says ?he? would serve as Donald Trump's running mate if asked https://t.co/BpGz4qipNm via @JDiamond1 https://t.co/5BbIo52QLq|`|0|`|20160521_08|`|CNNPolitics|
|David Cameron's office denies it invited Donald Trump to London for a visit https://t.co/21zyqdvcKp https://t.co/MptyKSmGUy|`|0|`|20160521_08|`|CNNPolitics|
|Jesse Jackson urges for unity within the Democratic Party https://t.co/yRSATi4tdy via @mj_lee &amp; @PrestonCNN https://t.co/z3ssuxBPjO|`|0|`|20160521_07|`|CNNPolitics|
|Potential Donald Trump VP pick Gov. Mary Fallin vetoes an Oklahoma bill blocking abortion https://t.co/KKfWRm5yGV https://t.co/PfRUGagcG6|`|0|`|20160521_07|`|CNNPolitics|
|President Barack Obama chides lawmakers over #ZikaVirus funding https://t.co/DqATdKbiKk via @Kevinliptakcnn https://t.co/ZCeHqOQ1kL|`|0|`|20160521_06|`|CNNPolitics|
|If Hillary Clinton secures the nomination, what can she do with Bernie Sanders? https://t.co/q4UXFIa9AQ via @EdCNN https://t.co/HJjwJ5hdWT|`|0|`|20160521_06|`|CNNPolitics|
|Donald Trump in 2006: I "sort of hope" the real estate market tanks https://t.co/1OaWSNKI50 https://t.co/XbEnnIhVDd|`|0|`|20160521_05|`|CNNPolitics|
|Human Rights Watch report: The military punishes sex assault victims https://t.co/XXllaaMe55 via @JessicaSarhan https://t.co/oS2ADluw8p|`|0|`|20160521_05|`|CNNPolitics|
|Hillary Clinton says Donald Trump is not qualified to be president https://t.co/0GBZNXusCU via @ericbradner https://t.co/CH2PClVHvO|`|0|`|20160521_04|`|CNNPolitics|
|New York Times/CBS poll: Both Hillary Clinton and Donald Trump are unpopular https://t.co/K4tccG3Zcb https://t.co/YVZZ1NRHhh|`|0|`|20160521_03|`|CNNPolitics|
|What #EgyptAir tells us about Hillary Clinton and Donald Trump https://t.co/Ti5wnmIxBm via @StCollinson https://t.co/xhLMCyuwHm|`|0|`|20160521_03|`|CNNPolitics|
|Dennis Hastert will begin his prison sentence on June 22 https://t.co/ohYFVsCU2O via @teddyschleifer https://t.co/WArhfGa22A|`|0|`|20160521_03|`|CNNPolitics|
|Poll: Donald Trump trails Hillary Clinton by nearly 40 points with Latinos https://t.co/DdggCGECUu https://t.co/vJ5ArSaRPR|`|0|`|20160521_02|`|CNNPolitics|
|New York Times/CBS poll: Both Hillary Clinton and Donald Trump are unpopular https://t.co/K4tccFMnNB https://t.co/Rg0BSLQn7n|`|0|`|20160521_01|`|CNNPolitics|
|What does Donald Trump want in a VP? His top executives take a guess https://t.co/ReIQcRGEfj  via @mj_lee https://t.co/ztrvTZMbD0|`|0|`|20160521_01|`|CNNPolitics|
|Robert Gates says he questions Hillary Clinton's judgment in using a private email server https://t.co/npNMMVhGvg https://t.co/tL7XVGvpAx|`|0|`|20160521_00|`|CNNPolitics|
|Poll: Donald Trump trails Hillary Clinton by nearly 40 points with Latinos https://t.co/DdggCGWdM2 https://t.co/lnGKENUx6C|`|0|`|20160521_00|`|CNNPolitics|
|Vicente Fox says he will only accept Donald Trump's lunch invitation if Trump apologizes https://t.co/5fgeExWVAH https://t.co/JslP6bg3CI|`|0|`|20160521_00|`|CNNPolitics|
|Is Donald Trump's candidacy hurting his travel brand? https://t.co/SrPj5E0ERz https://t.co/8B6rkvnEsK|`|0|`|20160521_00|`|CNNPolitics|
|Why you should never pay the ransom if your computer is hacked https://t.co/SBmpNFWG10 https://t.co/KVqkN38Ivs|`|1|`|20160521_11|`|YahooFinance|
|Frozen food recall covers hundreds of items from many stores https://t.co/vRPGzRU7GI https://t.co/iNG5mcCfLT|`|1|`|20160521_11|`|YahooFinance|
