|West Midlands Police says three men have been charged with Syria-related terror offences|`|unlabelled_SkyNewsBreak|
|Foreign Office: A British woman has died &amp; another Briton has been injured after a speedboat reportedly capsized near Koh Samui in Thailand|`|unlabelled_SkyNewsBreak|
|Sky Sources: #JoseMourinho has been appointed as the new Manchester United manager #MUFC|`|unlabelled_SkyNewsBreak|
|Update - McDonald's says it is "cooperating fully with the authorities" after police raided French headquarters over tax fraud investigation|`|unlabelled_SkyNewsBreak|
|French riot police have fired at least six rounds of tear gas as thousands of protesters march in #Paris urging govt to withdraw labour bill|`|unlabelled_SkyNewsBreak|
|German police launch investigation to identify 2 men believed to be Britons in photo performing Nazi salute at Buchenwald concentration camp|`|unlabelled_SkyNewsBreak|
|AP: Donald #Trump has reached the number of delegates needed to clinch the Republican U.S. presidential nomination|`|unlabelled_SkyNewsBreak|
|AFP: French police say they have raided McDonald's headquarters over a tax fraud investigation|`|unlabelled_SkyNewsBreak|
|Update - EU rescue mission says approximately 20 corpses have been identified in Mediterranean after a boat capsized off the coast of #Libya|`|unlabelled_SkyNewsBreak|
|Police have arrested nine people as several thousand protesters march in #Paris demanding the French government withdraw a labour bill|`|unlabelled_SkyNewsBreak|
|Russia have included Maria #Sharapova in Olympic tennis team despite the player being suspended over positive test for banned drug meldonium|`|unlabelled_SkyNewsBreak|
|Update - Italian coastguard says a boat carrying an unknown number of migrants has capsized off the coast of #Libya|`|unlabelled_SkyNewsBreak|
|Update - An armed man on an extremist watch list has been arrested after barricading himself into an apartment in #Paris|`|unlabelled_SkyNewsBreak|
|Italian coastguard says 80 people are thought to have drowned after a migrant boat capsized off the coast of Libya|`|unlabelled_SkyNewsBreak|
